
wamerican;2020.12.07-4
wget;1.25.0-2
whiptail;0.52.25-1
whois;5.6.3
wireguard;1.0.20210914-3
wireguard-tools;1.0.20210914-3
x11-common;1:7.7+24
x11-utils;7.7+7
x11-xserver-utils;7.7+11
xauth;1:1.1.2-1.1
xclip;0.13-4
xdg-user-dirs;0.18-2
xdg-utils;1.2.1-2
xfsprogs;6.13.0-2+b1
xkb-data;2.42-1
xml-core;0.19
xxd;2:9.1.1230-2
xz-utils;5.8.1-1
zabbix-agent2;1:7.0.10+dfsg-2
zip;3.0-15
zlib1g;1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev;1:1.3.dfsg+really1.3.1-1+b1
zsh;5.9-8+b14
zsh-common;5.9-8
zstd;1.5.7+dfsg-1
zutty;0.16.2.20241020+dfsg1-1
