
efibootmgr;18.8.el10
prefixdevname;0.2.0.4.el10
grub2-efi-aa64-cdboot;2.12.29.el10_1
ncurses;6.4.14.20240127.el10
dosfstools;4.2.12.el10
libsysfs;2.1.1.15.el10
lsscsi;0.32.15.el10
rootfiles;8.1.54.el10
gpg-pubkey;6fedfc85.682ae1a9
vim-data;9.1.083.6.el10_1.4
xxd;9.1.083.6.el10_1.4
which;2.21.44.el10_0
vim-filesystem;9.1.083.6.el10_1.4
vim-common;9.1.083.6.el10_1.4
vim-enhanced;9.1.083.6.el10_1.4
vim-minimal;9.1.083.6.el10_1.4
peekl-agent;0.7.1~SNAPSHOT_52b3101.1
apr;1.7.5.2.el10
apr-util-lmdb;1.6.3.23.el10_1
apr-util-openssl;1.6.3.23.el10_1
apr-util;1.6.3.23.el10_1
rocky-logos-httpd;100.4.7.el10
httpd-tools;2.4.63.4.el10_1.3
httpd-filesystem;2.4.63.4.el10_1.3
oniguruma;6.9.9.7.el10
mailcap;2.1.54.8.el10
httpd-core;2.4.63.4.el10_1.3
mod_http2;2.0.29.3.el10
mod_lua;2.4.63.4.el10_1.3
httpd;2.4.63.4.el10_1.3
jq;1.7.1.11.el10_1.0.2
nginx-filesystem;1.26.3.1.el10
nginx-core;1.26.3.1.el10
nginx;1.26.3.1.el10
